Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01003113,,,4.25,5.17,,,[],,5.00,,5.00,7.20,6.25
01003114,,,4.75,5.83,,,[],8.20,7.75,,5.25,7.80,7.50
01003115,7.75,7.50,,,8.00,8.75,[],8.80,7.75,,,7.40,
01003116,8.50,7.50,,,7.58,6.75,[],8.60,7.75,,,8.80,
01003117,,,3.50,5.08,,,[],8.60,6.25,,4.75,8.60,7.00
01003118,6.25,9.00,,,7.58,7.50,[],9.20,6.75,,,7.20,
01003119,8.00,8.75,,,7.58,6.00,[],,8.00,,,8.00,
01003120,,,2.75,5.33,,,[],8.40,6.50,,5.25,7.80,8.00
01003121,5.50,8.25,,,7.08,7.50,[],7.20,8.50,,,6.60,
01003122,7.00,8.50,,,7.83,8.00,[],9.60,7.50,,,8.40,
01003123,8.25,9.00,,,8.25,7.50,[],9.20,9.25,,,8.60,
01003124,5.75,7.25,,,6.67,7.00,[],7.80,8.25,,,9.20,
01003125,7.75,8.75,,,8.08,7.75,[],5.20,7.25,,,6.20,
01003126,6.75,7.25,,,7.17,7.50,[],8.80,7.25,,,8.20,
01003127,7.75,7.75,,,7.25,6.25,[],6.20,6.50,,,6.80,
01003128,,,5.25,5.83,,,[],,6.50,,5.75,6.40,6.50
01003129,,,9.00,7.50,,,[],6.40,7.25,,4.75,7.40,8.75
01003130,7.00,9.00,,,7.75,7.25,[],,7.25,,,7.80,
01003131,7.50,8.00,,,7.50,7.00,[],,6.00,,,4.80,
01003132,5.50,7.25,,,6.00,5.25,[],5.80,5.75,,,7.00,
01003133,7.00,7.25,,,7.25,7.50,[],6.80,8.25,,,4.00,
01003134,6.75,9.00,,,8.25,9.00,[],,6.75,,,7.80,
01003135,6.50,7.50,,,6.75,6.25,[],8.60,7.75,,,7.60,
01003136,6.50,6.50,,,5.58,3.75,[],5.40,6.25,,,4.00,
01003137,7.75,,,,,6.25,[],8.60,6.50,,,4.80,
01003138,,,3.75,5.00,,,[],6.20,6.00,,4.25,8.00,7.00
01003139,5.75,8.25,,,6.50,5.50,[],7.60,5.25,,,7.60,
01003140,7.00,9.25,,,7.92,7.50,[],,5.25,,,7.00,
01003141,8.50,8.50,,,7.83,6.50,[],8.20,8.25,,,8.80,
01003142,5.25,8.25,,,6.50,6.00,[],2.40,7.50,,,6.00,
01003143,6.00,7.25,,,6.42,6.00,[],4.60,6.50,,,5.40,
01003144,6.75,7.75,,,7.17,7.00,[],9.00,7.75,,,7.60,
01003145,,,4.00,4.92,,,[],8.40,5.75,,4.50,7.40,6.25
01003146,9.25,8.75,,,8.50,7.50,[],9.40,7.50,,,6.80,
01003147,4.75,7.25,,,5.50,4.50,[],4.40,4.00,,,4.20,
01003148,6.75,7.50,,,6.83,6.25,[],5.00,7.33,,,7.60,
01003149,7.00,8.00,,,7.50,7.50,[],9.40,7.75,,,7.20,
01003150,8.25,6.50,,,6.42,4.50,[],8.60,8.25,,,8.00,
01003151,,,8.00,7.33,,,[],4.00,6.50,,5.75,7.40,8.25
01003152,7.25,7.50,,,7.50,7.75,[],5.40,7.25,,,7.00,
01003153,7.00,6.75,,,7.08,7.50,[],6.60,5.75,,,5.80,
01003154,6.50,9.25,,,7.58,7.00,[],8.20,7.50,,,6.40,
01003155,5.50,7.50,,,6.00,5.00,[],,6.66,,,5.20,
01003156,5.50,8.25,,,6.42,5.50,[],3.00,7.00,,,4.60,
01003157,,,8.25,6.83,,,[],6.80,4.75,,7.00,7.40,5.25
01003158,6.00,8.50,,,7.42,7.75,[],9.00,7.75,,,8.40,
01003159,5.75,8.00,,,6.83,6.75,[],3.40,6.25,,,6.60,
01003160,7.50,9.00,,,7.83,7.00,[],4.60,6.75,,,6.80,
01003161,7.75,7.75,,,8.17,9.00,[],8.20,8.00,,,8.00,
01003162,6.00,7.75,,,6.92,7.00,[],9.20,8.25,,,8.60,
01003163,,,6.75,4.83,,,[],9.00,6.75,,4.50,6.80,3.25
01003164,8.75,,,,,,[],8.80,9.00,,,8.40,
01003165,6.00,8.00,,,7.17,7.50,[],7.80,9.00,,,8.60,
01003166,,,3.50,5.42,,,[],8.20,6.00,,5.00,8.80,7.75
01003167,4.75,,,,,3.25,[],,4.25,,,4.60,
01003168,6.50,6.75,,,6.58,6.50,[],5.20,7.50,,,5.60,
01003169,7.75,8.00,,,7.50,6.75,[],8.60,7.75,,,7.80,
01003170,6.25,7.25,,,6.00,4.50,[],8.20,6.25,,,8.00,
01003171,8.00,7.00,,,6.75,5.25,[],7.20,8.25,,,7.40,
01003172,5.50,7.50,,,4.83,1.50,[],8.40,8.50,,,7.40,
01003173,7.25,7.50,,,7.25,7.00,[],6.20,8.00,,,6.60,
01003174,,,8.00,8.42,,,[],,8.00,,9.00,8.00,8.25
01003175,8.25,9.25,,,8.33,7.50,[],9.00,7.25,,,8.60,
01003176,7.00,7.25,,,7.00,6.75,[],7.80,8.00,,,6.00,
01003177,6.50,6.75,,,6.67,6.75,[],,7.50,,,5.60,
01003179,6.25,8.00,,,7.25,7.50,[],7.60,8.00,,,7.60,
01003180,,,4.25,5.50,,,[],8.80,6.50,,5.00,8.80,7.25
01003181,6.25,8.25,,,7.42,7.75,[],7.20,7.25,,,7.80,
01003182,,,5.00,4.25,,,[],3.20,5.50,,4.75,7.40,3.00
01003183,5.50,7.00,,,5.42,3.75,[],2.40,5.00,,,4.80,
01003184,,,6.00,5.42,,,[],8.20,7.00,,4.75,8.60,5.50
01003185,7.50,7.75,,,7.58,7.50,[],3.40,7.25,,,5.20,
01003186,5.75,9.00,,,7.25,7.00,[],,7.50,,,8.60,
01003187,6.50,8.00,,,7.17,7.00,[],,8.00,,,7.80,
01003188,6.25,9.00,,,7.92,8.50,[],9.60,7.50,,,8.60,
01003189,9.00,8.25,,,9.00,9.75,[],7.80,9.00,,,6.80,
01003190,,,8.75,6.33,,,[],6.20,4.00,,2.50,8.60,7.75
01003191,7.25,,,,,5.25,[],,7.75,,,5.20,
01003192,7.50,7.50,,,7.58,7.75,[],8.00,8.50,,,8.20,
01003193,7.00,8.75,,,7.42,6.50,[],8.80,7.25,,,6.40,
01003194,4.50,7.50,,,5.17,3.50,[],3.40,6.00,,,4.00,
01003195,6.50,9.00,,,7.67,7.50,[],6.40,8.00,,,6.60,
01003196,7.00,,,,,6.75,[],,6.25,,,6.20,
01003197,,,7.00,7.08,,,[],8.40,6.75,,5.75,9.20,8.50
01003198,7.00,7.25,,,7.00,6.75,[],5.20,7.50,,,6.80,
01003200,6.50,8.50,,,7.50,7.50,[],7.00,9.00,,,9.00,
01003201,5.50,8.50,,,5.33,2.00,[],3.80,6.00,,,2.80,
01003202,,,8.75,8.00,,,[],8.60,8.00,,7.25,7.60,8.00
01003203,2.25,,,,,2.50,[],,2.25,,,3.40,
01003204,7.50,8.75,,,7.42,6.00,[],6.80,8.25,,,7.20,
01003205,7.25,6.75,,,7.50,8.50,[],7.00,7.00,,,7.80,
01003206,,,6.00,5.75,,,[],6.60,8.00,,4.25,8.20,7.00
01003207,6.75,7.75,,,7.67,8.50,[],8.20,6.75,,,7.40,
01003208,5.75,,,,,5.50,[],,6.50,,,8.00,
01003209,5.00,6.75,,,5.50,4.75,[],2.20,6.25,,,5.00,
01003210,,,3.75,6.00,,,[],9.00,6.00,,4.75,8.80,9.50
01003211,5.00,,,,,6.75,[],,6.25,,,3.40,
01003212,,,6.00,6.17,,,[],,7.75,,5.00,7.80,7.50
01003213,,,5.00,5.83,,,[],8.20,6.75,,5.00,8.20,7.50
01003214,,,8.25,7.42,,,[],7.00,5.50,,8.00,7.20,6.00
01003215,,,8.25,7.33,,,[],8.00,8.00,,5.50,8.20,8.25
01003216,6.50,7.75,,,7.00,6.75,[],7.20,8.00,,,8.60,
01003217,,,7.75,7.50,,,[],8.40,8.00,,6.50,9.20,8.25
01003218,,,6.00,5.67,,,[],7.80,3.25,,4.75,7.80,6.25
01003219,,,3.75,4.67,,,[],,5.75,,3.00,8.00,7.25
01003220,4.75,7.50,,,6.42,7.00,[],9.40,6.75,,,7.80,
01003221,,,6.75,6.17,,,[],,7.75,,6.00,6.60,5.75
01003222,,,4.75,4.50,,,[],8.60,6.75,,4.25,6.20,4.50
01003223,7.25,7.25,,,7.83,9.00,[],4.80,8.25,,,7.80,
01003224,8.50,8.75,,,8.42,8.00,[],8.60,8.75,,,8.40,
01003225,7.25,7.75,,,6.92,5.75,[],6.00,7.00,,,7.60,
01003226,5.75,,,,,5.75,[],,2.00,,,3.60,
01003227,8.00,,,,,8.50,[],,6.75,,,6.60,
01003228,5.50,8.25,,,6.92,7.00,[],7.40,5.50,,,5.20,
01003229,,,5.00,5.50,,,[],6.40,5.75,,4.25,8.40,7.25
01003230,8.00,8.50,,,7.58,6.25,[],8.80,8.75,,,8.00,
01003232,7.75,8.75,,,8.42,8.75,[],8.80,9.50,,,7.20,
01003233,5.75,7.75,,,6.25,5.25,[],,7.00,,,4.20,
01003234,5.25,,,,,6.75,[],,6.00,,,4.60,
01003235,5.75,6.75,,,6.25,6.25,[],7.20,6.75,,,6.60,
01003236,,,4.00,4.58,,,[],5.40,7.75,,3.75,5.80,6.00
01003237,5.00,9.00,,,6.33,5.00,[],7.80,6.50,,,7.20,
01003238,5.50,6.00,,,5.17,4.00,[],3.20,6.50,,,4.80,
01003239,,,3.75,4.25,,,[],6.20,5.75,,4.50,7.20,4.50
01003240,7.75,,,,,7.75,[],,4.50,,,2.20,
01003241,6.25,7.50,,,6.92,7.00,[],6.40,8.00,,,6.80,
01003242,7.25,7.75,,,7.00,6.00,[],5.40,6.50,,,5.60,
01003243,6.50,8.00,,,7.08,6.75,[],9.20,7.25,,,7.60,
01003244,,,4.50,4.67,,,[],8.60,6.50,,3.00,7.60,6.50
01003245,,,7.50,7.33,,,[],8.00,7.00,,6.75,8.40,7.75
01003246,7.50,7.50,,,6.33,4.00,[],5.20,7.50,,,4.80,
01003247,9.50,8.00,,,8.33,7.50,[],7.40,7.50,,,7.80,
01003248,7.00,9.00,,,8.00,8.00,[],5.40,7.00,,,6.00,
01003249,,,5.25,6.17,,,[],,6.25,,5.25,8.20,8.00
01003250,6.00,,,,,8.75,[],,6.00,,,6.60,
01003251,,,8.75,7.92,,,[],8.00,7.25,,5.75,8.80,9.25
01003252,8.75,9.00,,,8.75,8.50,[],,8.00,,,7.60,
01003253,6.25,8.25,,,7.50,8.00,[],7.80,7.50,,,8.60,
01003254,,,3.50,4.67,,,[],7.80,4.00,,3.00,8.20,7.50
01003255,8.00,9.50,,,8.33,7.50,[],,7.75,,,7.60,
01003256,5.75,7.00,,,6.17,5.75,[],3.60,4.00,,,6.20,
01003257,6.00,7.75,,,6.42,5.50,[],6.40,6.75,,,7.40,
01003258,6.75,8.25,,,7.67,8.00,[],8.40,7.75,,,8.00,
01003259,,,8.25,7.33,,,[],4.00,6.75,,6.50,8.20,7.25
01003260,8.50,8.75,,,7.92,6.50,[],8.20,8.50,,,7.60,
01003261,7.50,9.25,,,8.42,8.50,[],9.00,9.00,,,8.20,
01003262,7.00,8.75,,,8.08,8.50,[],7.80,8.25,,,8.20,
01003263,7.75,9.00,,,7.83,6.75,[],8.40,9.00,,,9.40,
01003264,8.50,9.25,,,9.08,9.50,[],8.80,9.00,,,9.40,
01003265,6.25,8.00,,,6.58,5.50,[],5.60,8.75,,,8.20,
01003266,6.25,8.00,,,6.83,6.25,[],5.00,7.75,,,7.00,
01003267,,,6.50,6.08,,,[],8.20,7.50,,4.75,8.20,7.00
01003268,6.50,7.75,,,6.83,6.25,[],8.00,7.50,,,6.80,
01003269,7.00,7.75,,,7.08,6.50,[],7.80,4.00,,,8.20,
01003270,5.75,7.50,,,7.00,7.75,[],,7.75,,,8.00,
01003271,7.75,8.75,,,8.42,8.75,[],8.60,7.75,,,7.80,
01003272,,,4.75,5.58,,,[],9.00,7.50,,4.25,8.20,7.75
01003273,6.75,8.50,,,7.75,8.00,[],8.80,8.25,,,8.40,
01003274,6.75,8.00,,,6.83,5.75,[],9.40,8.75,,,7.00,
01003275,7.00,6.25,,,7.00,7.75,[],8.40,7.00,,,7.60,
01003276,6.50,7.50,,,6.92,6.75,[],7.60,8.00,,,7.60,
01003277,4.75,,,,,3.25,[],,7.00,,,3.00,
01003278,6.25,7.25,,,6.00,4.50,[],4.60,6.00,,,5.60,
01003279,,,8.50,7.08,,,[],5.80,6.50,,4.50,8.60,8.25
01003280,,,5.25,4.83,,,[],5.60,7.00,,4.75,7.40,4.50
01003281,,,2.75,4.75,,,[],8.40,6.75,,5.75,8.20,5.75
01003282,6.75,8.00,,,7.42,7.50,[],6.80,8.00,,,7.20,
01003283,4.75,8.00,,,5.92,5.00,[],3.80,6.25,,,6.60,
01003284,4.75,7.50,,,4.92,2.50,[],3.40,6.25,,,4.20,
01003285,7.75,8.75,,,8.42,8.75,[],,8.50,,,7.00,
01003286,4.75,7.50,,,6.00,5.75,[],6.60,6.75,,,6.00,
01003287,6.75,7.50,,,6.92,6.50,[],8.20,8.25,,,8.20,
01003288,6.50,8.00,,,6.33,4.50,[],5.80,7.50,,,5.00,
01003289,,,4.25,3.50,,,[],6.60,3.25,,3.50,6.60,2.75
01003290,,,8.00,6.00,,,[],9.00,8.25,,4.00,8.60,6.00
01003291,7.00,8.50,,,8.08,8.75,[],9.00,8.00,,,7.20,
01003292,5.25,5.75,,,5.33,5.00,[],4.60,7.25,,,6.80,
01003294,5.00,,,,,8.00,[],,6.75,,,4.60,
01003295,5.75,8.25,,,6.42,5.25,[],3.80,5.75,,,4.60,
01003296,7.25,,,,,9.00,[],6.00,6.50,,,7.60,
01003297,7.25,7.75,,,7.67,8.00,[],8.60,9.00,,,7.40,
01003298,6.50,8.50,,,7.25,6.75,[],9.00,8.75,,,7.60,
01003299,,,7.25,5.33,,,[],8.40,6.50,,4.25,8.60,4.50
01003300,7.75,,,,,9.00,[],,8.00,,,6.40,
01003301,5.00,,,,,7.00,[],,6.75,,,3.60,
01003302,7.50,8.00,,,7.83,8.00,[],,4.50,,,7.40,
01003303,7.00,7.00,,,7.25,7.75,[],8.80,9.00,,,8.00,
01003304,6.50,8.75,,,7.25,6.50,[],8.60,9.00,,,8.60,
01003305,7.50,7.25,,,7.00,6.25,[],5.20,8.00,,,8.00,
01003306,5.75,8.75,,,7.00,6.50,[],9.20,8.50,,,7.20,
01003307,6.50,8.75,,,7.17,6.25,[],9.40,8.50,,,8.40,
01003308,7.25,8.25,,,7.67,7.50,[],6.20,8.00,,,8.00,
01003309,4.75,8.25,,,6.75,7.25,[],6.40,8.25,,,6.20,
01003310,7.75,8.25,,,8.25,8.75,[],,8.50,,,8.40,
01003311,8.00,7.25,,,7.83,8.25,[],9.00,8.25,,,8.40,
01003312,7.75,9.00,,,8.25,8.00,[],5.60,8.50,,,6.60,
01003313,8.25,8.25,,,8.50,9.00,[],6.80,8.75,,,8.00,
01003314,4.50,7.25,,,5.33,4.25,[],2.60,5.75,,,4.60,
01003315,7.00,8.75,,,7.83,7.75,[],,8.50,,,6.60,
01003316,8.25,8.50,,,8.58,9.00,[],8.80,8.75,,,8.20,
01003317,4.50,7.75,,,6.08,6.00,[],8.20,7.00,,,8.00,
01003318,6.25,8.00,,,6.75,6.00,[],7.40,7.75,,,6.60,
01003319,6.75,,,,,7.25,[],,4.50,,,3.00,
01003320,6.50,7.75,,,6.67,5.75,[],5.00,6.25,,,5.20,
01003321,,,4.25,5.58,,,[],9.60,7.00,,4.25,8.40,8.25
01003322,8.00,8.25,,,8.08,8.00,[],5.00,6.50,,,4.40,
01003323,,,6.75,5.58,,,[],,7.00,,6.25,7.80,3.75
01003324,6.75,8.00,,,7.92,9.00,[],8.80,8.50,,,8.40,
01003325,8.75,8.25,,,8.92,9.75,[],6.00,8.50,,,5.80,
01003326,6.00,7.75,,,7.17,7.75,[],8.00,8.25,,,8.60,
01003327,,,5.75,5.25,,,[],8.20,8.25,,5.75,7.00,4.25
01003328,,,6.00,6.17,,,[],7.80,6.75,,6.00,8.80,6.50
01003329,7.50,8.25,,,8.50,9.75,[],9.20,9.00,,,8.80,
01003330,9.25,9.50,,,9.00,8.25,[],,7.75,,,8.40,
01003331,6.00,9.25,,,7.75,8.00,[],8.80,7.75,,,8.00,
01003332,7.00,8.25,,,7.42,7.00,[],9.20,8.50,,,8.40,
01003333,8.50,8.25,,,8.75,9.50,[],2.40,8.50,,,5.40,
01003334,6.50,7.75,,,7.08,7.00,[],6.00,6.25,,,4.20,
01003335,8.00,7.00,,,7.58,7.75,[],6.20,8.00,,,8.00,
01003336,8.50,8.75,,,8.83,9.25,[],4.60,7.75,,,5.60,
01003337,,,6.00,4.75,,,[],6.20,6.66,,3.75,7.60,4.50
01003338,,,6.75,7.08,,,[],8.80,6.25,,5.75,8.80,8.75
01003339,6.75,8.00,,,7.50,7.75,[],7.00,7.00,,,7.00,
01003340,7.50,8.00,,,7.92,8.25,[],8.60,8.00,,,7.80,
01003341,6.25,9.00,,,7.50,7.25,[],8.20,8.50,,,8.00,
01003342,7.00,,,,,4.50,[],,6.25,,,5.60,
01003343,6.50,7.50,,,6.75,6.25,[],8.60,6.50,,,5.60,
01003344,5.75,8.25,,,6.00,4.00,[],3.00,5.25,,,5.00,
01003345,7.00,8.75,,,7.42,6.50,[],8.20,7.50,,,7.60,
01003346,8.00,8.00,,,8.42,9.25,[],,7.50,,,8.40,
01003347,,,4.75,5.17,,,[],8.60,8.00,,3.75,7.60,7.00
01003348,7.50,9.25,,,8.25,8.00,[],10.00,8.75,,,7.40,
01003349,7.00,8.00,,,7.25,6.75,[],9.00,8.00,,,7.60,
01003350,7.00,8.00,,,6.83,5.50,[],8.00,8.75,,,6.80,
01003351,9.50,8.75,,,8.75,8.00,[],8.80,8.00,,,5.80,
01003352,8.00,7.75,,,8.42,9.50,[],,8.00,,,3.20,
01003354,6.00,7.00,,,6.25,5.75,[],4.40,6.00,,,5.20,
01003355,8.00,8.50,,,7.92,7.25,[],8.80,8.25,,,7.20,
01003356,,,8.00,7.00,,,[],5.40,7.25,,8.25,8.60,4.75
01003357,7.75,8.75,,,8.17,8.00,[],9.00,8.25,,,8.40,
01003358,6.00,,,,,7.75,[],,8.25,,,6.20,
01003359,6.50,7.50,,,6.75,6.25,[],,7.25,,,6.80,
01003360,6.00,8.00,,,6.75,6.25,[],8.00,8.25,,,7.20,
01003361,6.75,7.50,,,7.25,7.50,[],8.60,8.25,,,7.80,
01003362,,,2.50,5.00,,,[],7.40,7.25,,5.50,9.20,7.00
01003363,,,4.50,5.83,,,[],6.60,8.25,,4.50,7.40,8.50
01003364,6.00,8.00,,,6.92,6.75,[],,8.25,,,7.20,
01003365,,,3.75,4.00,,,[],6.40,8.00,,4.50,7.40,3.75
01003366,7.75,8.25,,,7.58,6.75,[],9.00,7.00,,,8.80,
01003367,,,5.00,4.58,,,[],6.00,6.50,,5.00,7.80,3.75
01003368,7.25,8.75,,,7.17,5.50,[],6.40,8.25,,,7.80,
01003369,7.00,8.75,,,7.83,7.75,[],6.20,8.50,,,7.20,
01003370,5.00,7.50,,,6.25,6.25,[],8.60,8.50,,,7.80,
01003371,5.50,6.50,,,4.67,2.00,[],,5.00,,,7.00,
01003372,,,8.50,6.83,,,[],8.80,7.50,,5.75,8.20,6.25
01003373,,,6.25,5.42,,,[],8.40,6.75,,6.25,8.00,3.75
01003374,5.50,8.75,,,6.83,6.25,[],8.00,7.25,,,7.00,
01003375,7.75,8.75,,,8.25,8.25,[],8.60,8.00,,,7.60,
01003376,5.50,8.00,,,6.42,5.75,[],2.00,7.75,,,3.00,
01003377,,,5.75,5.75,,,[],8.60,5.00,,4.75,7.60,6.75
01003378,6.50,8.75,,,7.33,6.75,[],4.40,8.00,,,6.80,
01003379,6.25,6.75,,,6.50,6.50,[],6.80,7.50,,,7.80,
01003380,8.50,9.25,,,8.92,9.00,[],,6.50,,,7.40,
01003381,,,7.25,7.08,,,[],8.00,7.00,,7.75,8.00,6.25
01003382,6.75,9.00,,,8.42,9.50,[],,7.50,,,7.80,
01003383,6.25,8.25,,,6.67,5.50,[],8.00,8.75,,,7.80,
01003384,6.00,7.25,,,5.92,4.50,[],7.40,8.75,,,8.20,
01003385,6.00,8.00,,,7.00,7.00,[],7.60,7.00,,,7.00,
01003386,,,3.25,4.00,,,[],8.60,6.50,,3.00,7.80,5.75
01003387,5.75,7.50,,,6.50,6.25,[],9.20,8.50,,,7.60,
01003388,7.25,7.00,,,7.00,6.75,[],4.80,8.00,,,7.40,
01003389,,,7.25,5.83,,,[],8.80,8.75,,4.50,8.00,5.75
01003390,6.00,7.25,,,6.25,5.50,[],6.00,7.75,,,7.40,
01003391,7.00,8.00,,,6.83,5.50,[],7.20,8.50,,,6.40,
01003392,5.25,7.75,,,6.25,5.75,[],4.40,7.75,,,4.40,
01003393,,,5.50,5.50,,,[],9.40,6.75,,5.25,8.60,5.75
01003394,6.25,8.00,,,6.33,4.75,[],6.40,6.25,,,6.00,
01003395,6.75,9.25,,,7.58,6.75,[],8.40,8.25,,,8.20,
01003396,7.00,8.00,,,7.42,7.25,[],,7.25,,,4.60,
01003397,,,8.50,,,,[],,,,7.50,8.80,
01003398,7.50,8.50,,,7.25,5.75,[],,6.25,,,8.60,
01003399,,,3.00,4.25,,,[],9.20,7.17,,4.25,8.60,5.50
01003400,7.25,7.25,,,7.33,7.50,[],8.80,8.00,,,8.00,
01003401,7.75,8.75,,,8.33,8.50,[],,8.25,,,8.40,
01003402,5.75,8.00,,,6.25,5.00,[],8.60,8.00,,,6.60,
01003403,,,4.00,4.42,,,[],9.00,5.50,,3.75,6.80,5.50
01003404,7.00,7.50,,,7.42,7.75,[],7.80,6.25,,,7.00,
01003405,6.75,8.00,,,6.83,5.75,[],8.00,6.00,,,8.60,
01003406,7.00,8.00,,,7.42,7.25,[],8.40,5.75,,,7.00,
01003407,,,3.50,5.25,,,[],8.40,6.25,,4.00,8.40,8.25
01003408,7.25,8.25,,,7.92,8.25,[],8.20,7.50,,,7.80,
01003409,6.75,9.00,,,8.00,8.25,[],4.60,6.00,,,7.00,
01003410,8.75,9.00,,,8.75,8.50,[],,6.75,,,7.40,
01003411,5.50,8.00,,,6.75,6.75,[],7.60,7.00,,,7.60,
01003412,8.50,,,,,9.25,[],,4.25,,,,
01003413,7.25,8.50,,,8.00,8.25,[],9.20,8.50,,,8.20,
01003414,7.00,6.00,,,6.17,5.50,[],5.60,7.00,,,7.60,
01003415,,,4.25,5.17,,,[],8.60,7.50,,4.25,7.60,7.00
01003416,6.50,7.25,,,6.92,7.00,[],8.80,6.50,,,7.40,
01003417,5.50,,,,,5.00,[],,4.50,,,3.60,
01003418,,,4.50,4.92,,,[],7.60,6.75,,4.50,7.20,5.75
01003419,4.75,,,,,3.75,[],,6.75,,,4.20,
01003420,7.50,8.00,,,7.42,6.75,[],3.80,5.25,,,7.60,
01003421,,,3.00,2.67,,,[],6.00,6.67,,2.75,7.00,2.25
01003422,4.75,7.25,,,5.17,3.50,[],6.20,5.50,,,2.80,
01003423,,,4.25,5.00,,,[],8.40,8.75,,5.50,8.80,5.25
01003424,8.25,8.00,,,8.08,8.00,[],,3.75,,,6.00,
01003426,9.25,8.50,,,8.42,7.50,[],9.00,8.50,,,9.20,
01003427,6.00,8.75,,,7.83,8.75,[],9.60,8.75,,,8.00,
01003428,6.25,,,,,5.75,[],,4.75,,,5.40,
01003429,,,6.25,5.92,,,[],9.60,7.75,,5.50,7.40,6.00
01003430,6.25,8.00,,,7.17,7.25,[],6.60,7.75,,,5.80,
01003431,6.75,8.75,,,7.33,6.50,[],4.20,6.50,,,7.40,
01003432,4.75,5.00,,,5.08,5.50,[],,5.00,,,3.60,
01003433,6.50,7.50,,,7.00,7.00,[],6.80,7.00,,,6.80,
01003434,5.75,7.75,,,7.17,8.00,[],9.20,8.00,,,7.80,
01003435,7.00,8.75,,,8.08,8.50,[],,7.50,,,6.60,
01003436,6.75,,,,,6.75,[],,3.25,,,4.20,
01003437,6.25,7.50,,,6.58,6.00,[],,6.25,,,7.00,
01003438,,,,,,,[],7.80,8.00,,,7.80,
01003439,4.75,,,,,2.75,[],,2.75,,,3.40,
01003440,8.50,8.25,,,8.42,8.50,[],9.00,8.00,,,7.80,
01003441,5.25,8.50,,,6.58,6.00,[],7.40,6.25,,,6.20,
01003442,7.50,9.00,,,7.92,7.25,[],8.80,8.50,,,8.00,
01003443,,,4.75,3.92,,,[],8.60,7.75,,4.25,6.60,2.75
01003444,6.75,8.75,,,7.58,7.25,[],5.00,7.75,,,7.40,
01003445,6.75,9.50,,,7.17,5.25,[],3.40,7.25,,,6.20,
01003446,,,3.50,4.58,,,[],9.20,6.00,,4.50,8.60,5.75
01003447,7.50,8.00,,,7.83,8.00,[],9.60,8.75,,,8.00,
01003448,,,4.25,5.00,,,[],8.20,6.25,,3.25,8.60,7.50
01003449,9.25,8.00,,,8.67,8.75,[],9.60,9.50,,,9.00,
01003450,7.00,7.25,,,7.33,7.75,[],9.40,8.50,,,7.20,
01003451,,,3.50,4.83,,,[],8.00,6.25,,4.25,7.80,6.75
01003452,8.00,8.25,,,8.33,8.75,[],,5.66,,,6.00,
01003453,6.00,8.00,,,7.08,7.25,[],8.80,9.00,,,7.40,
01003454,8.75,8.50,,,8.25,7.50,[],8.00,8.50,,,7.20,
01003455,5.00,8.50,,,7.00,7.50,[],8.20,8.00,,,7.60,
01003456,6.75,7.00,,,6.92,7.00,[],8.20,7.50,,,7.80,
01003457,,,,,,,[],6.80,,,,7.20,6.75
01003458,5.75,7.75,,,6.25,5.25,[],7.20,6.33,,,6.80,
01003459,8.50,8.25,,,8.25,8.00,[],9.20,8.50,,,8.60,
01003460,5.50,8.25,,,6.33,5.25,[],7.60,7.75,,,7.00,
01003461,9.25,8.00,,,8.67,8.75,[],7.80,8.00,,,7.60,
01003462,,,4.25,6.25,,,[],9.20,7.00,,5.50,8.40,9.00
01003463,,,5.50,5.75,,,[],8.00,7.50,,4.50,7.80,7.25
01003464,7.25,7.75,,,7.58,7.75,[],7.40,7.50,,,8.20,
01003465,,,3.00,4.42,,,[],9.40,6.00,,3.50,7.40,6.75
01003466,6.25,7.00,,,6.92,7.50,[],7.00,8.00,,,8.40,
01003467,7.75,9.00,,,8.00,7.25,[],,7.75,,,7.60,
01003468,5.00,7.50,,,6.33,6.50,[],8.00,7.25,,,7.40,
01003469,4.75,7.25,,,5.67,5.00,[],3.60,6.50,,,5.20,
01003470,,,5.00,5.58,,,[],7.40,6.75,,3.50,7.20,8.25
01003471,,,3.75,5.00,,,[],7.20,7.00,,4.00,9.00,7.25
01003472,,,7.25,6.83,,,[],9.00,7.00,,5.00,8.80,8.25
01003473,5.25,8.25,,,6.67,6.50,[],8.00,7.00,,,5.60,
01003474,,,8.00,7.33,,,[],9.40,6.00,,6.50,8.20,7.50
01003475,6.75,8.25,,,7.42,7.25,[],,5.75,,,7.00,
01003476,8.50,9.25,,,8.75,8.50,[],,8.50,,,8.60,
01003477,,,3.50,3.33,,,[],5.80,7.00,,3.75,7.00,2.75
01003478,6.00,8.00,,,7.17,7.50,[],8.20,8.00,,,7.00,
01003479,7.25,8.00,,,7.58,7.50,[],8.80,7.00,,,5.20,
01003480,,,8.50,7.33,,,[],8.40,8.00,,5.25,8.60,8.25
01003481,6.50,8.25,,,6.83,5.75,[],8.60,8.00,,,8.20,
01003482,8.25,8.25,,,8.00,7.50,[],9.40,8.25,,,8.80,
01003483,,,8.00,8.00,,,[],9.40,8.75,,8.25,8.60,7.75
01003484,8.00,9.50,,,8.75,8.75,[],7.80,8.50,,,8.60,
01003485,5.00,7.75,,,6.17,5.75,[],3.20,7.25,,,4.20,
