Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH
64000001,6.80,8.00,7.00,6.50,7.00,6.25,6.58,,,,
64000002,2.40,5.00,,,,,,5.25,4.50,,
64000003,7.40,7.75,6.40,,,,,7.00,8.25,9.50,8.25
64000004,5.60,6.50,5.00,,,,,5.25,7.50,8.50,7.08
64000005,5.20,6.25,4.00,5.75,5.50,6.00,5.75,,,,
64000006,4.60,5.25,3.40,,,,,5.00,5.25,7.25,5.83
64000007,6.60,5.75,2.80,4.75,5.50,4.25,4.83,,,,
64000008,2.80,7.00,2.60,,,,,5.25,6.75,8.25,6.75
64000009,4.20,4.50,,,,,,6.75,5.00,,
64000010,6.00,7.00,6.80,,,,,5.75,7.25,8.75,7.25
64000011,4.20,6.00,4.20,,,,,5.25,4.00,6.75,5.33
64000012,7.60,7.75,3.60,,,,,7.00,5.25,9.00,7.08
64000013,4.40,5.50,,,,,,6.50,5.75,,
64000014,7.80,7.75,6.60,7.50,8.25,6.50,7.42,,,,
64000015,4.00,6.50,3.00,,,,,5.00,4.25,7.25,5.50
64000016,7.80,6.75,3.60,,,,,7.00,5.50,8.75,7.08
64000017,8.60,,,,8.75,8.50,,,,,
64000018,6.40,5.00,5.00,6.25,5.25,5.25,5.58,,,,
64000019,3.40,6.50,3.40,,,,,4.50,5.00,7.25,5.58
64000020,7.20,,,6.75,7.00,,,,,,
64000021,4.60,6.00,4.00,,,,,4.75,5.75,7.00,5.83
64000022,6.40,8.00,5.00,,,,,8.00,7.75,9.25,8.33
64000023,3.20,3.25,,,,,,5.50,5.25,,
64000024,5.80,6.50,4.40,,,,,5.00,5.00,8.25,6.08
64000025,8.20,8.25,6.60,6.50,7.50,8.25,7.42,,,,
64000026,6.00,7.00,5.00,,,,,6.00,5.25,7.25,6.17
64000027,,5.75,,,,,,4.75,5.50,,
64000028,5.40,6.00,5.00,6.50,7.50,7.25,7.08,,,,
64000029,5.00,7.50,4.80,,,,,6.75,6.75,8.00,7.17
64000030,2.20,5.50,,,,,,4.00,3.25,,
64000031,4.60,5.50,,,,,,5.00,4.50,,
64000032,3.40,5.75,3.80,,,,,4.75,5.00,6.25,5.33
64000033,4.20,7.00,2.00,,,,,6.50,6.00,8.75,7.08
64000034,,5.00,,,,,,6.50,7.50,,
64000035,5.60,6.25,,,,,,6.75,7.50,,
64000036,7.40,7.00,3.60,4.25,7.25,7.00,6.17,,,,
64000037,,6.75,,,,,,8.00,9.25,,
64000038,7.20,6.25,5.00,7.00,6.25,6.25,6.50,,,,
64000039,4.60,7.00,3.20,,,,,5.25,4.75,8.00,6.00
64000040,8.40,7.00,5.00,7.25,7.75,5.75,6.92,,,,
64000041,7.20,6.75,5.00,6.75,8.00,5.25,6.67,,,,
64000042,7.00,8.50,7.20,,,,,6.25,7.00,8.50,7.25
64000043,6.60,7.25,4.80,,,,,7.50,6.75,6.75,7.00
64000044,6.80,6.75,1.80,,,,,5.75,4.25,8.75,6.25
64000045,6.60,7.75,5.00,,,,,6.50,8.25,9.50,8.08
64000046,7.60,6.75,4.20,,,,,6.50,7.50,9.25,7.75
64000047,7.40,8.00,6.00,,,,,7.00,7.50,9.50,8.00
64000048,6.00,7.50,5.60,,,,,6.00,6.75,7.00,6.58
64000049,6.60,7.75,5.60,,,,,6.00,6.50,9.00,7.17
64000050,2.80,6.50,2.80,,,,,5.00,5.00,7.25,5.75
64000051,3.20,7.00,2.20,,,,,5.50,6.25,8.00,6.58
64000052,5.40,8.25,5.20,,,,,5.50,7.00,9.75,7.42
64000053,3.60,6.50,3.80,,,,,6.00,4.00,6.75,5.58
64000054,3.20,5.00,,,,,,5.25,3.25,,
64000055,6.40,6.75,5.20,6.25,6.50,5.25,6.00,,,,
64000056,4.20,6.50,,,,,,5.75,3.75,,
64000057,4.20,6.25,3.40,,,,,4.75,4.75,6.75,5.42
64000058,5.80,6.50,3.60,,,,,5.25,4.75,8.75,6.25
64000059,,,,,,,,,,,
64000060,2.20,5.00,,,,,,5.50,3.00,,
64000061,4.20,6.50,4.80,,,,,4.00,5.25,6.75,5.33
64000062,5.40,6.75,3.00,,,,,6.25,4.00,8.00,6.08
64000063,5.20,6.50,4.80,,,,,5.75,5.00,7.25,6.00
64000064,4.40,5.50,4.60,,,,,5.25,6.75,8.00,6.67
64000065,5.20,5.25,4.00,6.75,6.00,6.00,6.25,,,,
64000066,4.40,6.75,2.80,,,,,5.00,5.25,6.00,5.42
64000067,5.40,8.00,4.20,,,,,6.50,4.50,8.00,6.33
64000068,5.00,7.75,3.80,,,,,5.25,6.00,8.50,6.58
64000069,5.80,5.00,5.00,,,,,6.25,6.50,8.25,7.00
64000070,6.00,5.50,4.40,,,,,5.50,5.50,7.75,6.25
64000071,4.20,5.50,3.20,,,,,6.50,5.00,8.25,6.58
64000072,8.00,6.25,4.20,7.50,8.00,7.75,7.75,,,,
64000073,7.00,8.00,5.60,,,,,7.25,7.75,9.75,8.25
64000074,7.20,,,4.00,8.25,8.00,6.75,,,,
64000075,5.00,6.75,3.20,,,,,4.00,6.00,9.00,6.33
64000076,6.40,6.00,2.20,,,,,5.75,6.25,8.50,6.83
64000077,8.60,6.25,3.20,7.00,7.50,5.25,6.58,,,,
64000078,7.40,8.00,5.00,,,,,7.75,8.50,9.75,8.67
64000079,,5.00,,,,,,4.25,4.75,,
64000080,4.20,6.75,2.80,,,,,5.00,4.75,6.50,5.42
