Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,Fail
64000085,5.6,5.5,5.8,,,,,5.5,4.5,8.25,6.08,
64000086,6.0,7.25,3.4,,,,,3.0,3.25,8.0,4.75,
64000087,6.0,5.5,1.0,,,,,6.25,6.5,7.75,6.83,
64000088,8.6,5.5,7.0,8.0,5.75,6.25,6.67,,,,,
64000089,7.2,7.0,5.8,,,,,6.0,7.25,7.75,7.0,
64000090,5.6,6.0,4.4,,,,,8.0,7.5,8.0,7.83,
64000091,5.0,5.25,4.4,,,,,5.5,6.25,9.0,6.92,
64000092,4.8,5.75,2.4,,,,,5.0,7.0,8.0,6.67,
64000093,6.0,6.75,6.0,,,,,5.5,5.75,6.75,6.0,
64000094,7.6,8.25,4.8,,,,,8.5,9.25,9.25,9.0,
64000095,5.4,6.0,3.0,,,,,6.75,7.5,7.25,7.17,
64000096,8.2,8.5,5.0,9.0,7.75,7.75,8.17,,,,,
64000097,8.2,6.5,6.8,6.75,7.0,7.0,6.92,,,,,
64000098,5.6,5.5,4.6,,,,,5.5,4.75,6.0,5.42,
64000099,7.2,5.5,4.0,,,,,8.25,7.0,8.75,8.0,
64000100,2.8,6.25,3.0,,,,,5.25,6.25,6.25,5.92,
64000101,6.4,4.25,2.4,,,,,5.25,6.0,7.0,6.08,
64000102,4.8,6.0,3.2,,,,,6.75,6.0,7.75,6.83,
64000103,5.8,5.75,4.4,,,,,5.75,6.75,9.0,7.17,
64000104,6.2,6.0,3.4,,,,,6.75,6.5,9.25,7.5,
64000105,5.8,6.75,4.2,,,,,4.0,5.25,6.75,5.33,
64000106,5.2,5.0,4.0,,,,,5.5,6.75,7.75,6.67,
64000107,7.6,8.25,4.8,8.25,7.25,7.5,7.67,,,,,
64000108,8.2,7.0,5.0,,,,,6.25,4.75,8.25,6.42,
64000109,4.4,7.25,2.8,,,,,5.0,5.0,6.75,5.58,
64000110,7.8,7.25,3.2,,,,,7.0,7.75,9.5,8.08,
64000111,5.6,6.5,4.0,,,,,6.0,6.75,8.25,7.0,
64000112,7.8,6.5,6.0,,,,,7.0,8.25,9.0,8.08,
64000113,6.4,8.25,3.4,,,,,8.25,8.75,9.25,8.75,
64000114,7.6,7.5,6.2,,,,,8.5,8.5,9.5,8.83,
64000115,5.4,6.75,3.0,,,,,4.75,6.25,7.5,6.17,
64000116,6.8,6.5,5.4,7.0,7.0,7.25,7.08,,,,,
64000117,6.6,6.5,3.2,,,,,7.0,7.25,8.75,7.67,
64000118,7.2,7.0,3.2,,,,,7.0,6.75,8.75,7.5,
64000119,7.6,6.0,5.2,,,,,5.75,7.0,8.0,6.92,
64000120,6.0,6.25,3.6,5.0,4.5,5.5,5.0,,,,,
64000121,8.6,7.0,4.4,,,,,8.0,6.5,9.0,7.83,
64000122,3.4,4.25,3.6,,,,,3.75,3.25,5.25,4.08,
64000123,5.4,8.75,4.2,,,,,8.25,9.0,9.25,8.83,
64000124,7.8,8.25,4.2,7.25,7.5,6.75,7.17,,,,,
64000125,7.2,8.5,4.0,,,,,8.75,8.0,8.5,8.42,
64000126,6.0,6.25,3.6,,,,,6.25,6.25,8.75,7.08,
64000127,6.4,7.0,4.0,,,,,8.25,7.25,8.0,7.83,
64000128,6.0,5.5,3.8,,,,,7.5,7.75,8.5,7.92,
64000129,6.2,5.0,3.6,5.0,7.25,6.0,6.08,,,,,
64000130,7.8,7.0,5.6,7.75,8.25,4.0,6.67,,,,,
64000131,7.2,5.0,5.0,6.25,6.25,4.5,5.67,,,,,
64000132,5.8,4.0,3.2,,,,,6.5,7.25,8.0,7.25,
64000133,7.4,7.5,4.2,7.5,9.0,8.5,8.33,,,,,
64000134,5.6,5.0,3.2,,,,,6.0,4.0,7.5,5.83,
64000135,7.4,7.0,4.4,7.25,6.75,5.0,6.33,,,,,
64000136,7.2,5.75,4.0,,,,,7.5,7.25,8.0,7.58,
